Class Inheritance Relationships:
org.jhotdraw.draw.handle.AbstractRotateHandle extends org.jhotdraw.draw.handle.AbstractHandle
org.jhotdraw.draw.handle.TransformHandleKit$NorthEastHandle extends org.jhotdraw.draw.handle.TransformHandleKit$TransformHandle
org.jhotdraw.draw.DefaultDrawing extends org.jhotdraw.draw.AbstractDrawing
org.jhotdraw.draw.DiamondFigure extends org.jhotdraw.draw.AbstractAttributedFigure
org.jhotdraw.samples.draw.DrawApplet extends javax.swing.JApplet
org.jhotdraw.draw.action.EditorColorIcon extends javax.swing.ImageIcon
org.jhotdraw.draw.TextFigure extends org.jhotdraw.draw.AbstractAttributedDecoratedFigure
org.jhotdraw.xml.DefaultDOMFactory extends org.jhotdraw.xml.JavaPrimitivesDOMFactory
org.jhotdraw.draw.action.SendToBackAction$1 extends javax.swing.undo.AbstractUndoableEdit
org.jhotdraw.draw.handle.FontSizeHandle$1 extends javax.swing.undo.AbstractUndoableEdit
org.jhotdraw.draw.action.DrawingColorIcon extends javax.swing.ImageIcon
org.jhotdraw.draw.handle.BezierControlPointHandle$1 extends org.jhotdraw.draw.event.BezierNodeEdit
org.jhotdraw.draw.handle.FontSizeHandle$2 extends javax.swing.undo.AbstractUndoableEdit
org.jhotdraw.draw.LineFigure$1 extends javax.swing.undo.AbstractUndoableEdit
org.jhotdraw.gui.JPopupButton$1 extends java.awt.event.MouseAdapter
org.jhotdraw.gui.datatransfer.InputStreamTransferable extends org.jhotdraw.gui.datatransfer.AbstractTransferable
org.jhotdraw.draw.action.AttributeToggler extends javax.swing.AbstractAction
org.jhotdraw.draw.handle.TransformHandleKit$SouthEastHandle extends org.jhotdraw.draw.handle.TransformHandleKit$TransformHandle
org.jhotdraw.draw.AbstractCompositeFigure$EventHandler extends org.jhotdraw.draw.event.FigureAdapter
org.jhotdraw.app.action.edit.DuplicateAction extends org.jhotdraw.app.action.edit.AbstractSelectionAction
org.jhotdraw.draw.action.MoveAction extends org.jhotdraw.draw.action.AbstractSelectedAction
org.jhotdraw.draw.DrawingEditorProxy extends org.jhotdraw.beans.AbstractBean
org.jhotdraw.draw.QuadTreeDrawing extends org.jhotdraw.draw.AbstractDrawing
org.jhotdraw.draw.connector.ChopRectangleConnector extends org.jhotdraw.draw.connector.AbstractConnector
org.jhotdraw.draw.handle.BezierNodeHandle$2 extends javax.swing.undo.AbstractUndoableEdit
org.jhotdraw.draw.AbstractDrawing extends org.jhotdraw.draw.AbstractAttributedCompositeFigure
org.jhotdraw.draw.handle.BezierNodeHandle$3 extends javax.swing.undo.AbstractUndoableEdit
org.jhotdraw.draw.tool.TextAreaCreationTool$1 extends javax.swing.undo.AbstractUndoableEdit
org.jhotdraw.draw.decoration.ArrowTip extends org.jhotdraw.draw.decoration.AbstractLineDecoration
org.jhotdraw.gui.filechooser.ExtensionFileFilter extends javax.swing.filechooser.FileFilter
org.jhotdraw.draw.handle.BezierNodeHandle$1 extends org.jhotdraw.draw.event.BezierNodeEdit
org.jhotdraw.draw.QuadTreeDrawing$QuadTreeEventHandler extends org.jhotdraw.draw.AbstractCompositeFigure$EventHandler
org.jhotdraw.draw.connector.ChopEllipseConnector extends org.jhotdraw.draw.connector.ChopRectangleConnector
org.jhotdraw.draw.handle.ResizeHandleKit$ResizeHandle extends org.jhotdraw.draw.handle.LocatorHandle
org.jhotdraw.draw.action.MoveAction$East extends org.jhotdraw.draw.action.MoveAction
org.jhotdraw.draw.handle.OrientationHandle extends org.jhotdraw.draw.handle.AbstractHandle
org.jhotdraw.gui.plaf.palette.PaletteMenuItemUI extends javax.swing.plaf.basic.BasicMenuItemUI
org.jhotdraw.gui.plaf.palette.PaletteUtilities extends javax.swing.plaf.basic.BasicGraphicsUtils
org.jhotdraw.draw.EllipseFigure extends org.jhotdraw.draw.AbstractAttributedFigure
org.jhotdraw.draw.action.MoveConstrainedAction$South extends org.jhotdraw.draw.action.MoveConstrainedAction
org.jhotdraw.draw.action.SelectionColorChooserHandler extends org.jhotdraw.draw.action.AbstractSelectedAction
org.jhotdraw.color.HSBColorSpace extends java.awt.color.ColorSpace
org.jhotdraw.gui.plaf.palette.PaletteFontChooserUI extends org.jhotdraw.gui.plaf.FontChooserUI
org.jhotdraw.draw.action.MoveConstrainedAction$North extends org.jhotdraw.draw.action.MoveConstrainedAction
org.jhotdraw.draw.event.AttributeChangeEdit extends javax.swing.undo.AbstractUndoableEdit
